average time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGst5GramJaccardMinMatchLength3, 0.0, 37.0, 6.0, 388.0, 3161.0, 130.0, 4.0, 3.0, 9.0, 326.0
winnowingNormalizedShingle2DiceVariant, 0.0, 2.0, 0.0, 9.0, 6.0, no result, 0.0, 0.0, 0.0, 3.0
rkrGstShingle3JaccardMinMatchLength2, 0.0, no result, 0.0, 27.0, 22.0, no result, 0.0, 0.0, 1.0, no result
longestCommonSubsequence4GramFingerprintNormalized, 0.0, 5.0, 0.0, 37.0, 98.0, 8.0, 0.0, 0.0, 2.0, 30.0
rkrGstNormalized3GramDiceMinMatchLength2, 0.0, 22.0, 2.0, 135.0, 323.0, 33.0, 2.0, 1.0, 4.0, 152.0
winnowingNormalizedShingle3DiceVariant, 0.0, 2.0, 0.0, 11.0, 7.0, no result, 0.0, 0.0, 0.0, no result
rkrGstNormalized3GramDiceVariantMinMatchLength3, 0.0, 26.0, 2.0, 133.0, 326.0, 35.0, 2.0, 1.0, 4.0, 151.0
rkrGst3GramDiceMinMatchLength3, 0.0, 33.0, 5.0, 293.0, 2201.0, 143.0, 3.0, 3.0, 8.0, 261.0
damerauLevenshteinNormalized, 0.0, 25.0, 3.0, 294.0, 870.0, 58.0, 4.0, 2.0, 16.0, 225.0
winnowing5GramDice, 0.0, 2.0, 0.0, 10.0, 9.0, 4.0, 0.0, 0.0, 0.0, 5.0
optimalAlignmentShingle3Fingerprint, 0.0, no result, 0.0, 10.0, 7.0, no result, 0.0, 0.0, 0.0, no result
rkrGst4GramDiceMinMatchLength1, 0.0, 38.0, 5.0, 354.0, 2879.0, 141.0, 4.0, 3.0, 9.0, 277.0
rkrGstShingle3DiceVariantMinMatchLength3, 0.0, no result, 0.0, 26.0, 21.0, no result, 0.0, 0.0, 3.0, no result
longestCommonSubsequence3GramFingerprintNormalized, 0.0, 6.0, 0.0, 46.0, 107.0, 8.0, 0.0, 0.0, 2.0, 30.0
rkrGstNormalized2GramOverlapMinMatchLength3, 0.0, 22.0, 2.0, 125.0, 312.0, 32.0, 2.0, 1.0, 4.0, 140.0
overlapNormalizedPadding5grams, 0.0, 3.0, 0.0, 10.0, 8.0, 3.0, 0.0, 0.0, 0.0, 5.0
rkrGstNormalized2GramDiceMinMatchLength3, 0.0, 22.0, 2.0, 124.0, 328.0, 33.0, 2.0, 1.0, 3.0, 139.0
rkrGst5GramDiceMinMatchLength3, 0.0, 37.0, 6.0, 488.0, 3251.0, 147.0, 4.0, 4.0, 9.0, 356.0
optimalAlignmentStandard, 0.0, 22.0, 3.0, 443.0, 1228.0, 121.0, 5.0, 2.0, 22.0, 247.0
manhattanNormalized4Grams, 0.0, 6.0, 0.0, 16.0, 10.0, 5.0, 0.0, 0.0, 1.0, 7.0
overlap4Grams, 0.0, 2.0, 0.0, 10.0, 7.0, 3.0, 0.0, 0.0, 0.0, 4.0
winnowing4GramDiceVariant, 0.0, 4.0, 0.0, 10.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
