max time for a PostVersionList measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstNormalizedTokenJaccardMinMatchLength3, 0, 50, 1, 0, 9, 0, 6, 0, 5, 0
cosineNormalizedShingle3Bool, 0, 25, 2, 1, 5, no result, 5, 0, 3, no result
rkrGst2GramJaccardMinMatchLength1, 0, 636, 21, 5, 86, 2, 75, 0, 53, 4
cosineNormalized4GramsTermFrequency, 0, 34, 3, 1, 6, 0, 7, 0, 5, 1
rkrGstShingle3DiceVariantMinMatchLength1, 0, no result, 2, 1, 12, no result, 11, 0, 7, no result
overlapNormalizedShingles2, 0, 20, 1, 1, 4, no result, 4, 0, 3, 0
jaccardNormalized3Grams, 0, 21, 1, 1, 4, 0, 4, 0, 3, 0
diceVariantTokens, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0
cosineNormalized4GramsBool, 0, 34, 2, 1, 5, 0, 6, 0, 5, 1
rkrGst5GramDiceVariantMinMatchLength2, 0, 729, 23, 4, 77, 2, 79, 0, 59, 5
rkrGstNormalized5GramDiceVariantMinMatchLength1, 0, 623, 22, 4, 63, 1, 72, 0, 49, 4
rkrGst2GramDiceMinMatchLength3, 0, 602, 19, 4, 78, 1, 68, 0, 49, 3
winnowingNormalized3GramOverlap, 0, 19, 1, 1, 3, 0, 4, 0, 3, 0
rkrGstNormalized5GramJaccardMinMatchLength1, 0, 638, 21, 4, 62, 2, 72, 0, 50, 4
winnowingNormalized5GramDiceVariant, 0, 19, 1, 1, 3, 0, 4, 0, 2, 0
cosineNormalized5GramsNormalizedTermFrequency, 0, 33, 2, 1, 6, 0, 7, 0, 5, 1
winnowing4GramDice, 0, 14, 1, 0, 2, 0, 3, 0, 2, 0
winnowingNormalized2GramOverlap, 0, 18, 1, 0, 3, 0, 4, 0, 2, 0
rkrGstNormalizedShingle3JaccardMinMatchLength3, 0, 87, 4, 1, 14, no result, 16, 0, 9, no result
jaccardNormalized2Grams, 0, 17, 1, 0, 3, 0, 3, 0, 2, 0
diceNormalizedPadding3grams, 0, 18, 1, 0, 3, 0, 4, 0, 2, 0
winnowingTokenJaccard, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0
